name,set_name,collector_number,url,foil,etched,quantity,price
Abyssal Persecutor,Commander 2014,132,https://api.scryfall.com/cards/2ff15389-10a1-49d7-b1c2-d7a13e151612,0,0,1,1.86
Abzan Ascendancy,Khans of Tarkir,160,https://api.scryfall.com/cards/9af53a53-d30a-4289-a043-953cd81ee241,0,0,1,0.17
Abzan Falconer,Khans of Tarkir,2,https://api.scryfall.com/cards/21ee4f3c-dc94-4156-b0ed-60fe6310451a,1,0,1,2.09
Academic Probation (Promo),Strixhaven: School of Mages Promos,7s,https://api.scryfall.com/cards/545011ff-848c-46b3-9d56-0d82b11fa7b6,1,0,1,0.50
Academy Ruins,Double Masters,309,https://api.scryfall.com/cards/a95b7645-154f-4904-bf71-db7eb24d4df2,0,0,1,10.45
Act of Authority,Commander 2013,1,https://api.scryfall.com/cards/e107bd35-eddd-40f7-aea8-3a1eec3363c0,0,0,1,0.68
Adarkar Wastes,Ninth Edition,317,https://api.scryfall.com/cards/40f61de1-4e49-4640-a495-5abefd96babf,0,0,1,3.99
Aether Channeler,Dominaria United,42,https://api.scryfall.com/cards/60afeb75-2c1e-4634-8c83-88b1dddb77c2,0,0,1,0.24
Aether Snap,Commander 2014,133,https://api.scryfall.com/cards/c89eed52-aa5b-4a59-9bc6-cea65e504deb,0,0,1,0.52
Aether Vial,Iconic Masters,212,https://api.scryfall.com/cards/c14cdc38-dd46-495e-93bd-d2694b64d5ad,0,0,4,3.94
Aetherflux Reservoir,Kaladesh,192,https://api.scryfall.com/cards/96b6b2e1-c3e6-464c-8a13-b15deb34e862,0,0,1,19.33
Agent of Treachery,Core Set 2020,43,https://api.scryfall.com/cards/cc6686e6-4535-49be-b0b3-e76464656cd2,0,0,1,4.89
All Is Dust,Ultimate Masters,1,https://api.scryfall.com/cards/8cf632ef-70e3-46f2-af21-14ea7ef30237,0,0,1,3.84
Allure of the Unknown,Theros Beyond Death,207,https://api.scryfall.com/cards/f77e09c3-917c-4bbb-bb94-60f4e9417832,0,0,1,0.10
Alpine Moon,Core Set 2019,128,https://api.scryfall.com/cards/2435c810-2baf-4e3b-80ce-542b94694901,0,0,2,0.24
An Offer You Can't Refuse,Streets of New Capenna,51,https://api.scryfall.com/cards/b9d349f3-5be2-4b1f-a4c3-ba94822cf0cf,0,0,1,1.95
"Anafenza, Kin-Tree Spirit",Dragons of Tarkir,2,https://api.scryfall.com/cards/55611f05-10cf-42d0-b93e-7f0c0c852a06,0,0,2,0.19
"Anafenza, the Foremost",Khans of Tarkir,163,https://api.scryfall.com/cards/c8b432a7-53da-4480-b571-e6feb1364a3a,0,0,1,0.56
Ancient Grudge,Innistrad,127,https://api.scryfall.com/cards/e5e7b966-7c5b-44e6-a6df-4bd7af4edaa9,0,0,1,0.16
Ancient Grudge,Modern Masters 2017,88,https://api.scryfall.com/cards/3d7313d3-e6fb-4e82-b558-5fcfd5b71177,0,0,1,0.27
Ancient Stirrings,Masters 25,159,https://api.scryfall.com/cards/90ea4a23-63fa-4d3d-90e3-c007ba0c0e78,0,0,1,0.26
Ancient Stirrings,Rise of the Eldrazi,174,https://api.scryfall.com/cards/97ac2766-a597-4949-882d-c5e61e6dd268,0,0,3,0.29
Ancient Tomb,From the Vault: Realms,1,https://api.scryfall.com/cards/31984c11-5289-4fc3-9291-27e15b68146d,1,0,1,125.01
Angel of Finality,Commander 2013,4,https://api.scryfall.com/cards/bd3c34c9-2072-4ebb-93ef-34173015bfb8,0,0,1,0.48
"Angrath, Captain of Chaos (Promo)",War of the Spark Promos,227s,https://api.scryfall.com/cards/aedb1bac-b650-4955-b8b7-d1e7a4ad5cdf,1,0,1,1.04
Animate Dead,Eternal Masters,78,https://api.scryfall.com/cards/7b83536a-efa4-41f3-9424-75b0efc0aea5,0,0,2,7.67
Animate Dead,Revised Edition,93,https://api.scryfall.com/cards/eed73f84-ad08-44f8-a4fe-cd324ec1da92,0,0,1,7.76
Animation Module (Promo),Kaladesh Promos,194s,https://api.scryfall.com/cards/a8cbbd88-fda3-4a5f-88e8-a709e121a01d,1,0,1,8.22
Annihilate,Commander 2014,134,https://api.scryfall.com/cards/ebb91862-832b-42ba-bace-4d4f461df507,0,0,1,0.08
"Aphemia, the Cacophony",Theros Beyond Death,84,https://api.scryfall.com/cards/5b359607-d699-4ba9-a438-48f0dd8f1bf5,0,0,1,0.14
Arcane Denial,Masters 25,41,https://api.scryfall.com/cards/9d1ffeb1-6c31-45f7-8140-913c397022a3,0,0,1,2.13
Arcane Lighthouse,Commander 2014,59,https://api.scryfall.com/cards/977e3112-b141-44c0-9e8d-d7a0b93092b9,0,0,1,6.92
Arcane Signet,Throne of Eldraine,331,https://api.scryfall.com/cards/84128e98-87d6-4c2f-909b-9435a7833e63,0,0,1,0.54
Archaeomancer,Ultimate Masters,45,https://api.scryfall.com/cards/cc258713-6ce3-44e0-9b4b-8fa7d1d093a1,0,0,1,0.22
Archangel of Wrath,Dominaria United,3,https://api.scryfall.com/cards/2d00bab2-e95d-4296-a805-2a05e7640efb,0,0,1,0.20
Archon of Emeria (Extended Art),Zendikar Rising,315,https://api.scryfall.com/cards/530ed3d8-d176-44c8-ba54-f2536ceeb497,1,0,3,2.59
Arid Mesa,Modern Masters 2017,229,https://api.scryfall.com/cards/c9a8cc61-7e36-4df7-9c89-c32fce129c5a,0,0,4,30.61
"Ashiok, Dream Render",War of the Spark,228,https://api.scryfall.com/cards/f2df3258-c053-48a8-974f-d80899b2cd93,1,0,1,6.85
"Ashiok, Dream Render",War of the Spark,228,https://api.scryfall.com/cards/f2df3258-c053-48a8-974f-d80899b2cd93,0,0,1,1.46
Astral Drift (Promo),Modern Horizons Promos,3,https://api.scryfall.com/cards/f3acc9b9-b89c-4a45-b49e-c414cfa9db48,1,0,1,0.22
Avatar's Wrath,Avatar: The Last Airbender,12,https://api.scryfall.com/cards/4811072d-fac0-40dd-a5cf-9694d51b12cf,0,0,1,4.78
Aven Interrupter,Outlaws of Thunder Junction,4,https://api.scryfall.com/cards/d3ca43a4-d194-440f-8099-f1fa103a108d,0,0,1,3.93
Aven Mindcensor,Amonkhet,5,https://api.scryfall.com/cards/403a50cc-fa16-42a4-b9f2-d8327e5d1bb6,0,0,1,0.87
Aven Mindcensor,Future Sight,18,https://api.scryfall.com/cards/5b8ede8a-5317-4662-b964-a9bd202a4aab,0,0,2,2.06
Aven Windreader,Ninth Edition,62,https://api.scryfall.com/cards/1e017119-4040-4277-849f-3ed961c992c6,0,0,1,0.11
Azorius Signet,Commander 2018,196,https://api.scryfall.com/cards/20daf226-12c3-460c-b66a-e447346076d2,0,0,1,0.24
Bad Moon,Commander 2014,135,https://api.scryfall.com/cards/d2a766a1-8382-4dc7-aba8-ebc325f7e61f,0,0,1,1.60
Barbed Spike,Modern Horizons 2,5,https://api.scryfall.com/cards/c75c8631-e630-402b-a559-f1b1aa49763c,0,0,1,0.07
Barren Moor,Commander 2014,284,https://api.scryfall.com/cards/874143b7-3f04-401d-bdef-93f2f1009788,0,0,1,0.17
Basalt Monolith,Commander 2015,244,https://api.scryfall.com/cards/e5951ebc-8fee-4305-a776-b2bd751c9818,0,0,1,4.31
Batterskull,New Phyrexia,130,https://api.scryfall.com/cards/cd114ec3-d286-4c70-a122-3043bc53cc88,0,0,1,3.83
Beast Whisperer,Guilds of Ravnica,123,https://api.scryfall.com/cards/9da6f595-41b2-4e52-b15a-6ad18e4232c7,0,0,1,4.57
Bident of Thassa (Promo),Theros Promos,42★,https://api.scryfall.com/cards/228b8b54-e49b-48b3-8ed3-f863244e77c1,1,0,1,1.06
Bishop of Wings (Promo),Core Set 2020 Promos,8s,https://api.scryfall.com/cards/1cbdffab-b171-4e7c-906f-d04aa722cf40,1,0,1,6.44
Black Sun's Zenith,Commander 2014,136,https://api.scryfall.com/cards/90b217bf-9a62-4239-be24-e23c106b8212,0,0,1,1.08
Blacksmith's Skill,Modern Horizons 2,6,https://api.scryfall.com/cards/31506792-d0ab-4c13-9ab8-6fa433220dbf,0,0,2,0.24
Blade Splicer,Modern Masters 2017,3,https://api.scryfall.com/cards/9d53b9ef-fedc-4471-ac90-018d7033a9fc,0,0,4,0.21
Blast Zone,War of the Spark,244,https://api.scryfall.com/cards/ea6bc7d5-e8f6-4103-920c-9f7ec5cd6c28,0,0,1,0.25
Blessed Alliance,Eldritch Moon,13,https://api.scryfall.com/cards/b5805eab-9a32-4c0c-9015-7bdb74ad7634,0,0,2,0.19
